pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR,3,28,182,57622,ENSG00000106483;ENSG00000145423;ENSG00000185269,9.57945077993573e-05,0.0003063058953090561,C2_CanonicalPathways
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,4,75,182,57622,ENSG00000124882;ENSG00000137673;ENSG00000149968;ENSG00000168243,9.823007322825732e-05,0.0003076712823629243,C2_CanonicalPathways
KEGG_MEDICUS_VARIANT_CDX2_OVEREXPRESSION_TO_TRANSCRIPTIONAL_ACTIVATION,2,5,182,57622,ENSG00000134193;ENSG00000198788,9.859736075723058e-05,0.0003076712823629243,C2_CanonicalPathways
WP_MATRIX_METALLOPROTEINASES,3,30,182,57622,ENSG00000137673;ENSG00000149968;ENSG00000196611,0.00011816912101416025,0.00036435478979366076,C2_CanonicalPathways
KEGG_WNT_SIGNALING_PATHWAY,5,150,182,57622,ENSG00000106483;ENSG00000137673;ENSG00000140807;ENSG00000145423;ENSG00000166869,0.00012154710472233128,0.00037036117791863294,C2_CanonicalPathways
WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY,3,31,182,57622,ENSG00000149968;ENSG00000169429;ENSG00000196611,0.0001305264462821511,0.00039309708822182716,C2_CanonicalPathways
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS,3,32,182,57622,ENSG00000103375;ENSG00000115386;ENSG00000170835,0.00014369494393825193,0.0004277814997701983,C2_CanonicalPathways
REACTOME_NEUTROPHIL_DEGRANULATION,8,475,182,57622,ENSG00000090382;ENSG00000102837;ENSG00000134827;ENSG00000148346;ENSG00000162896;ENSG00000166825;ENSG00000204936;ENSG00000275896,0.00014725353542832185,0.0004333939281356291,C2_CanonicalPathways
WP_NCRNAS_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA,4,86,182,57622,ENSG00000106483;ENSG00000140807;ENSG00000145423;ENSG00000185269,0.00016704425214813604,0.0004861175427681712,C2_CanonicalPathways
REACTOME_SLC_MEDIATED_TRANSPORT_OF_INORGANIC_ANIONS,3,35,182,57622,ENSG00000080493;ENSG00000091138;ENSG00000155850,0.0001882969645732107,0.0005359221299391381,C2_CanonicalPathways
