pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_INFLAMMATORY_RESPONSE,4,967,149,57622,ENSG00000092009;ENSG00000123560;ENSG00000197561;ENSG00000274736,0.24147029726163824,0.2634837184706235,GO_BP
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,3,665,149,57622,ENSG00000101255;ENSG00000119147;ENSG00000171617,0.2474146429254,0.26959186582067396,GO_BP
GOBP_LEUKOCYTE_DIFFERENTIATION,3,670,149,57622,ENSG00000103375;ENSG00000104332;ENSG00000269404,0.250862673213125,0.272966657006729,GO_BP
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,6,1641,149,57622,ENSG00000104332;ENSG00000129474;ENSG00000171617;ENSG00000179915;ENSG00000197561;ENSG00000240498,0.2519675116094287,0.27378592741918373,GO_BP
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,2,375,149,57622,ENSG00000116748;ENSG00000197165,0.25303377148240297,0.274561051901408,GO_BP
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,2,391,149,57622,ENSG00000111846;ENSG00000186198,0.26832217327556035,0.2907446390088941,GO_BP
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,2,392,149,57622,ENSG00000104332;ENSG00000172005,0.2692778825997926,0.2909697120314425,GO_BP
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,2,392,149,57622,ENSG00000104332;ENSG00000197561,0.2692778825997926,0.2909697120314425,GO_BP
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,3,698,149,57622,ENSG00000015592;ENSG00000104435;ENSG00000168309,0.27029599253602077,0.29166474645357027,GO_BP
GOBP_HEMOPOIESIS,4,1021,149,57622,ENSG00000103375;ENSG00000104332;ENSG00000240505;ENSG00000269404,0.2719315945612695,0.2926673808462653,GO_BP
GOBP_REPRODUCTIVE_PROCESS,6,1687,149,57622,ENSG00000071539;ENSG00000104332;ENSG00000120498;ENSG00000163106;ENSG00000163497;ENSG00000176399,0.27197752744453707,0.2926673808462653,GO_BP
GOBP_RESPONSE_TO_PEPTIDE,4,1039,149,57622,ENSG00000104332;ENSG00000157193;ENSG00000163347;ENSG00000274736,0.2822375132501284,0.3032883774980662,GO_BP
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,2,410,149,57622,ENSG00000103888;ENSG00000104332,0.286471827941035,0.30741390639741406,GO_BP
GOBP_MUSCLE_CONTRACTION,2,416,149,57622,ENSG00000136546;ENSG00000185149,0.292195854760832,0.31312448347648386,GO_BP
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,2,420,149,57622,ENSG00000162461;ENSG00000166292,0.2960087776648056,0.31677418022451,GO_BP
GOBP_REGULATION_OF_PROTEOLYSIS,2,422,149,57622,ENSG00000101255;ENSG00000163815,0.29791417836163475,0.3179385881554895,GO_BP
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,2,422,149,57622,ENSG00000104332;ENSG00000143171,0.29791417836163475,0.3179385881554895,GO_BP
GOBP_RESPONSE_TO_OXIDATIVE_STRESS,2,423,149,57622,ENSG00000182271;ENSG00000198650,0.298866594564117,0.3182590830710362,GO_BP
GOBP_IMMUNE_EFFECTOR_PROCESS,3,739,149,57622,ENSG00000110887;ENSG00000197561;ENSG00000204936,0.2990326346078759,0.3182590830710362,GO_BP
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,3,751,149,57622,ENSG00000101255;ENSG00000119147;ENSG00000171617,0.30748290425725,0.3268056004264215,GO_BP
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,2,434,149,57622,ENSG00000104435;ENSG00000129474,0.3093290417475351,0.3283192284851055,GO_BP
GOBP_REGULATION_OF_TRANSLATION,2,436,149,57622,ENSG00000129474;ENSG00000171617,0.3112282075229443,0.3298849393090608,GO_BP
GOBP_REGULATION_OF_PROTEIN_TRANSPORT,2,440,149,57622,ENSG00000115263;ENSG00000186198,0.31502333654727843,0.3334532732432417,GO_BP
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,4,1098,149,57622,ENSG00000071539;ENSG00000104332;ENSG00000120498;ENSG00000176399,0.31639510648195707,0.3344502620148948,GO_BP
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,2,442,149,57622,ENSG00000197561;ENSG00000204936,0.31691922106097686,0.33454973403723204,GO_BP
GOBP_WOUND_HEALING,2,449,149,57622,ENSG00000129474;ENSG00000163347,0.3235453388395387,0.3410816715679689,GO_BP
GOBP_CHROMOSOME_SEGREGATION,2,452,149,57622,ENSG00000071539;ENSG00000120498,0.3263803073422144,0.3436047078650106,GO_BP
